"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2004","06","06017","El Dorado County (CA)","176,209","12,126","9,403","14,849","9,403 to 14,849","6.9","5.3","8.4","5.3 to 8.4","40,619","3,740","2,782","4,698","2,782 to 4,698","9.2","6.8","11.6","6.8 to 11.6","31,207","2,453","1,744","3,162","1,744 to 3,162","7.9","5.6","10.1","5.6 to 10.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,629","$53,214","$60,264","$53,214 to $60,264"
"2004","06","06019","Fresno County (CA)","862,708","170,457","134,283","206,631","134,283 to 206,631","19.8","15.6","24.0","15.6 to 24.0","270,291","77,352","58,549","96,155","58,549 to 96,155","28.6","21.7","35.6","21.7 to 35.6","192,287","51,987","37,729","66,245","37,729 to 66,245","27.0","19.6","34.5","19.6 to 34.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,930","$34,861","$39,121","$34,861 to $39,121"
"2004","06","06021","Glenn County (CA)","27,419","3,940","3,024","4,855","3,024 to 4,855","14.4","11.0","17.7","11.0 to 17.7","7,964","1,677","1,234","2,120","1,234 to 2,120","21.1","15.5","26.6","15.5 to 26.6","5,766","1,185","831","1,539","831 to 1,539","20.6","14.4","26.7","14.4 to 26.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,883","$32,763","$37,140","$32,763 to $37,140"
"2004","06","06023","Humboldt County (CA)","125,298","19,295","14,827","23,764","14,827 to 23,764","15.4","11.8","19.0","11.8 to 19.0","27,258","5,759","4,239","7,279","4,239 to 7,279","21.1","15.6","26.7","15.6 to 26.7","19,820","4,000","2,808","5,192","2,808 to 5,192","20.2","14.2","26.2","14.2 to 26.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,281","$31,243","$35,452","$31,243 to $35,452"
"2004","06","06025","Imperial County (CA)","145,161","26,890","20,501","33,280","20,501 to 33,280","18.5","14.1","22.9","14.1 to 22.9","47,419","12,335","8,765","15,906","8,765 to 15,906","26.0","18.5","33.5","18.5 to 33.5","32,828","7,644","5,179","10,109","5,179 to 10,109","23.3","15.8","30.8","15.8 to 30.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,674","$31,462","$36,041","$31,462 to $36,041"
"2004","06","06027","Inyo County (CA)","18,047","1,895","1,448","2,342","1,448 to 2,342","10.5","8.0","13.0","8.0 to 13.0","4,003","613","449","777","449 to 777","15.3","11.2","19.4","11.2 to 19.4","3,029","438","305","571","305 to 571","14.5","10.1","18.8","10.1 to 18.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,853","$36,457","$41,405","$36,457 to $41,405"
"2004","06","06029","Kern County (CA)","726,062","129,287","101,784","156,790","101,784 to 156,790","17.8","14.0","21.6","14.0 to 21.6","231,966","57,827","43,772","71,881","43,772 to 71,881","24.9","18.9","31.0","18.9 to 31.0","165,562","39,272","28,496","50,048","28,496 to 50,048","23.7","17.2","30.2","17.2 to 30.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,689","$36,501","$41,008","$36,501 to $41,008"
"2004","06","06031","Kings County (CA)","121,710","21,396","16,378","26,414","16,378 to 26,414","17.6","13.5","21.7","13.5 to 21.7","40,400","8,737","6,484","10,991","6,484 to 10,991","21.6","16.0","27.2","16.0 to 27.2","28,353","5,990","4,238","7,742","4,238 to 7,742","21.1","14.9","27.3","14.9 to 27.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,238","$35,773","$40,873","$35,773 to $40,873"
"2004","06","06033","Lake County (CA)","64,364","10,067","7,765","12,369","7,765 to 12,369","15.6","12.1","19.2","12.1 to 19.2","14,748","3,365","2,458","4,272","2,458 to 4,272","22.8","16.7","29.0","16.7 to 29.0","11,172","2,427","1,693","3,161","1,693 to 3,161","21.7","15.2","28.3","15.2 to 28.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,757","$30,714","$34,936","$30,714 to $34,936"
"2004","06","06035","Lassen County (CA)","25,538","4,002","2,928","5,076","2,928 to 5,076","15.7","11.5","19.9","11.5 to 19.9","6,641","1,143","837","1,449","837 to 1,449","17.2","12.6","21.8","12.6 to 21.8","5,162","808","564","1,052","564 to 1,052","15.7","10.9","20.4","10.9 to 20.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,143","$36,367","$42,130","$36,367 to $42,130"
