unit,sex,age,icd10,geo\time	2011 	2012 	2013 	2014 
RT,T,TOTAL,B20-B24,EU28	0.8 i	0.79 i	0.74 i	0.68 
RT,T,TOTAL,B20-B24,FI	0.1 	0.13 	0.08 	0.06 
RT,T,TOTAL,B20-B24,FR	0.67 	0.73 	0.78 	0.64 
RT,T,TOTAL,B20-B24,HR	0.14 	0.19 i	0.19 	0.09 
RT,T,TOTAL,B20-B24,HU	0.12 i	0.08 i	0.06 	0.14 
RT,T,TOTAL,B20-B24,IE	0.25 	0.27 	0.22 	0.16 
RT,T,TOTAL,B20-B24,IT	1.27 	1.33 	1.14 	1.06 
RT,T,TOTAL,B20-B24,LI	7.13 	: 	: 	: 
RT,T,TOTAL,B20-B24,LT	0.58 	0.86 	0.91 	0.72 
RT,T,TOTAL,B20-B24,LU	0.56 	1.5 	1.23 	0.86 
RT,T,TOTAL,B20-B24,LV	3.44 	4.25 	5.45 	5.11 
RT,T,TOTAL,B20-B24,MT	0.48 	0.23 	0.23 	0.69 
RT,T,TOTAL,B20-B24,NL	0.32 	0.27 	0.2 	0.23 
RT,T,TOTAL,B20-B24,NO	0.27 	0.21 	0.08 	0.22 
RT,T,TOTAL,B20-B24,PL	0.34 	0.31 	0.32 	0.32 
RT,T,TOTAL,B20-B24,PT	5.08 	4.59 	4.19 	3.87 
RT,T,TOTAL,B20-B24,RO	0.9 	0.83 	0.81 	0.97 
RT,T,TOTAL,B20-B24,RS	0.48 	0.31 	0.38 	0.16 
RT,T,TOTAL,B20-B24,SE	0.26 	0.15 	0.16 	0.1 
RT,T,TOTAL,B20-B24,SI	0.05 	0.09 	0.22 	0.23 
RT,T,TOTAL,B20-B24,SK	0.01 	0.05 	0.04 	0.03 
RT,T,TOTAL,B20-B24,TR	0.06 i	2.14 i	0.1 i	: 
RT,T,TOTAL,B20-B24,UK	0.31 i	0.37 i	0.36 	0.29 
