"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06069","San Benito County, CA","50,130","0","9,692","741","19.3","1.5","40,438","741","80.7","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06069","San Benito County, CA","49,870","0","10,225","816","20.5","1.6","39,645","816","79.5","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06069","San Benito County, CA","49,538","0","9,319","725","18.8","1.5","40,219","725","81.2","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06069","San Benito County, CA","49,404","0","9,706","746","19.6","1.5","39,699","746","80.4","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06069","San Benito County, CA","49,756","0","9,136","990","18.4","2.0","40,619","1,054","81.6","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06069","San Benito County, CA","49,683","0","8,997","1,064","18.1","2.1","40,686","1,074","81.9","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06071","San Bernardino County, CA","1,844,751","0","376,890","13,092","20.4","0.7","1,467,861","13,092","79.6","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06071","San Bernardino County, CA","1,849,925","0","400,237","13,078","21.6","0.7","1,449,688","13,078","78.4","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06071","San Bernardino County, CA","1,845,119","0","400,347","15,181","21.7","0.8","1,444,772","15,181","78.3","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06071","San Bernardino County, CA","1,827,727","0","411,749","13,887","22.5","0.8","1,415,978","13,887","77.5","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06071","San Bernardino County, CA","1,797,495","0","386,929","13,718","21.5","0.8","1,410,567","13,718","78.5","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06071","San Bernardino County, CA","1,799,318","0","375,172","13,966","20.9","0.8","1,424,146","13,966","79.1","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06071","San Bernardino County, CA","1,802,390","0","413,021","27,853","22.9","1.5","1,389,369","28,708","77.1","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06071","San Bernardino County, CA","1,810,302","0","431,101","29,111","23.8","1.6","1,379,201","29,021","76.2","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06073","San Diego County, CA","2,727,980","0","489,072","15,352","17.9","0.6","2,238,908","15,352","82.1","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06073","San Diego County, CA","2,715,753","0","500,305","15,402","18.4","0.6","2,215,448","15,402","81.6","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06073","San Diego County, CA","2,693,748","0","511,840","16,441","19.0","0.6","2,181,909","16,441","81.0","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06073","San Diego County, CA","2,670,619","0","511,168","15,781","19.1","0.6","2,159,451","15,781","80.9","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06073","San Diego County, CA","2,646,739","0","496,927","15,684","18.8","0.6","2,149,812","15,684","81.2","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06073","San Diego County, CA","2,586,808","0","475,687","15,711","18.4","0.6","2,111,121","15,711","81.6","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06073","San Diego County, CA","2,586,175","0","518,308","33,176","20.0","1.3","2,067,868","35,845","80.0","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06073","San Diego County, CA","2,565,639","0","589,271","35,159","23.0","1.4","1,976,369","35,768","77.0","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06075","San Francisco County, CA","704,527","0","88,165","5,218","12.5","0.7","616,362","5,218","87.5","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06075","San Francisco County, CA","702,142","0","94,423","5,468","13.4","0.8","607,719","5,468","86.6","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06075","San Francisco County, CA","690,802","0","96,285","6,085","13.9","0.9","594,517","6,085","86.1","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06075","San Francisco County, CA","686,202","0","99,476","5,829","14.5","0.8","586,726","5,829","85.5","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06075","San Francisco County, CA","703,350","0","104,399","5,659","14.8","0.8","598,951","5,659","85.2","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06075","San Francisco County, CA","691,089","0","87,828","5,126","12.7","0.7","603,261","5,126","87.3","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06075","San Francisco County, CA","684,376","0","116,346","11,864","17.0","1.7","568,030","12,846","83.0","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06075","San Francisco County, CA","645,606","0","122,856","11,643","19.0","1.8","522,750","11,963","81.0","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06077","San Joaquin County, CA","614,713","0","117,937","5,778","19.2","0.9","496,776","5,778","80.8","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06077","San Joaquin County, CA","618,042","0","120,724","5,776","19.5","0.9","497,318","5,776","80.5","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06077","San Joaquin County, CA","614,347","0","118,365","6,033","19.3","1.0","495,982","6,033","80.7","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06077","San Joaquin County, CA","607,676","0","117,928","5,839","19.4","1.0","489,748","5,839","80.6","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06077","San Joaquin County, CA","598,554","0","114,746","5,601","19.2","0.9","483,808","5,601","80.8","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06077","San Joaquin County, CA","595,831","0","106,630","5,614","17.9","0.9","489,201","5,614","82.1","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06077","San Joaquin County, CA","595,163","0","101,894","10,430","17.1","1.8","493,268","11,373","82.9","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06077","San Joaquin County, CA","596,615","0","102,006","11,336","17.1","1.9","494,609","11,673","82.9","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06079","San Luis Obispo County, CA","214,653","0","34,019","2,443","15.8","1.1","180,634","2,443","84.2","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06079","San Luis Obispo County, CA","214,221","0","36,190","2,532","16.9","1.2","178,031","2,532","83.1","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06079","San Luis Obispo County, CA","213,532","0","39,043","2,864","18.3","1.3","174,489","2,864","81.7","1.3"
